player_name,team,opponent,pitcher_name,lineup_spot,expected_pa,fantasy_points,fantasy_points_p10,fantasy_points_p50,fantasy_points_p90,confidence
Jakob Marsee,Miami Marlins,St. Louis Cardinals,Dustin May,6,4.03,3.52,0.0,3.0,9.0,Medium
Brooks Lee,Minnesota Twins,New York Mets,Nolan McLean,6,4.1,3.52,0.0,3.0,9.0,Medium
Cole Young,Seattle Mariners,Athletics,Jacob Lopez,6,4.06,3.52,0.0,3.0,9.0,Medium
Nick Kurtz,Athletics,Seattle Mariners,Luis Castillo,6,4.16,3.51,0.0,2.0,10.0,Medium
Agustín Ramírez,Miami Marlins,St. Louis Cardinals,Dustin May,6,4.04,3.51,0.0,2.0,9.0,Medium
Masataka Yoshida,Boston Red Sox,New York Yankees,Luis Gil,6,4.1,3.51,0.0,3.0,9.0,Medium
Yordan Alvarez,Houston Astros,Cleveland Guardians,Parker Messick,6,4.17,3.5,0.0,2.0,10.0,Medium
Jacob Young,Washington Nationals,Atlanta Braves,Reynaldo López,6,4.05,3.5,0.0,3.0,9.0,Medium
Lane Thomas,Kansas City Royals,Baltimore Orioles,Shane Baz,6,4.06,3.48,0.0,2.0,10.0,Medium
Eli White,Atlanta Braves,Washington Nationals,Foster Griffin,6,4.11,3.48,0.0,2.0,9.0,Medium
Francisco Lindor,New York Mets,Minnesota Twins,Simeon Woods Richardson,6,4.04,3.48,0.0,2.0,9.0,Medium
Ben Williamson,Tampa Bay Rays,Cincinnati Reds,Chase Burns,6,4.04,3.47,0.0,3.0,9.0,Medium
Alek Thomas,Arizona Diamondbacks,Chicago White Sox,Sean Burke,6,4.02,3.47,0.0,3.0,9.0,Medium
Shohei Ohtani,Los Angeles Dodgers,San Francisco Giants,Landen Roupp,6,4.14,3.45,0.0,2.0,10.0,Medium
Adam Frazier,Los Angeles Angels,Toronto Blue Jays,Patrick Corbin,6,4.07,3.45,0.0,2.0,9.0,Medium
Jake Rogers,Detroit Tigers,Milwaukee Brewers,Kyle Harrison,6,4.04,3.44,0.0,2.0,9.0,Medium
Byron Buxton,Minnesota Twins,New York Mets,Nolan McLean,6,4.1,3.44,0.0,2.0,9.0,Medium
Brandon Marsh,Philadelphia Phillies,Chicago Cubs,Shota Imanaga,6,4.11,3.44,0.0,3.0,9.0,Medium
